City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,75.25,shower rain,-21.2078,-159.775,Paradise Inn
3,Bengkulu,ID,86.05,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
4,Rikitea,PF,76.87,light rain,-23.1203,-134.9692,People ThankYou
5,Butaritari,KI,80.98,broken clouds,3.0707,172.7902,Isles Sunset Lodge
6,Sabang,ID,84.15,light rain,5.8933,95.3214,Hotel Citra
7,La Cruz,MX,77.27,broken clouds,23.9167,-106.9,Jesús angel
8,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Bud,US,75.04,clear sky,39.447,-86.1758,Ted McQuinn Trust
11,Victoria,HK,79.95,heavy intensity rain,22.2855,114.1577,Mini Central
12,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,Prachuap Khiri Khan,TH,80.85,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
32,Buala,SB,83.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
41,Singkang,MY,86.07,broken clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
46,Port Blair,IN,86.94,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
47,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Wajir,KE,78.76,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
57,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
60,Zhob,PK,88.9,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
65,Savannah Bight,HN,80.13,clear sky,16.45,-85.85,Villa on Dunbar Rock
69,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
73,Labuhan,ID,86.83,overcast clouds,-6.8844,112.2051,DoubleFAG
76,Coahuayana,MX,75.16,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
85,Samarai,PG,85.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
