,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barkhan,PK,29.8977,69.5256,91.71,6,0,8.16,clear sky
1,Avarua,CK,-21.2078,-159.775,75.25,94,75,10.36,shower rain
2,Clyde River,CA,70.4692,-68.5914,16.03,92,100,18.41,light snow
3,Bengkulu,ID,-3.8004,102.2655,86.05,67,74,17.27,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,76.87,82,9,19.73,light rain
5,Butaritari,KI,3.0707,172.7902,80.98,79,67,9.69,broken clouds
6,Sabang,ID,5.8933,95.3214,84.15,74,100,21.07,light rain
7,La Cruz,MX,23.9167,-106.9,77.27,67,75,4.88,broken clouds
8,Vaini,TO,-21.2,-175.2,75.36,69,75,9.22,broken clouds
9,Bud,US,39.447,-86.1758,75.04,86,1,7.36,clear sky
10,Vila Velha,BR,-20.3297,-40.2925,69.75,88,0,2.3,clear sky
11,Victoria,HK,22.2855,114.1577,79.95,92,100,8.99,heavy intensity rain
12,Mahebourg,MU,-20.4081,57.7,76.24,88,40,2.3,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,57.47,75,100,2.66,overcast clouds
14,San Gabriel,US,34.0961,-118.1058,64.6,37,0,4.61,clear sky
15,Ribeira Grande,PT,38.5167,-28.7,59.04,71,89,10.85,overcast clouds
16,Albany,US,42.6001,-73.9662,56.44,58,2,2.89,clear sky
17,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.9,54,54,3.15,broken clouds
18,Thompson,CA,55.7435,-97.8558,41.16,65,0,3.44,clear sky
19,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,94,0,3.44,clear sky
20,Laguna,US,38.421,-121.4238,62.46,55,0,13.8,clear sky
21,Amarante Do Maranhao,BR,-5.5667,-46.7422,71.53,96,97,2.73,overcast clouds
22,Busselton,AU,-33.65,115.3333,53.74,91,100,8.23,light rain
23,Prachuap Khiri Khan,TH,12.2167,99.75,80.85,77,100,3.29,overcast clouds
24,Sioux Lookout,CA,50.1001,-91.917,53.67,62,100,3.44,overcast clouds
25,Abha,SA,18.2164,42.5053,67.82,40,0,0.0,clear sky
26,Hofn,IS,64.2539,-15.2082,37.04,98,100,14.23,overcast clouds
27,Port Elizabeth,ZA,-33.918,25.5701,53.31,90,0,5.75,clear sky
28,Trairi,BR,-3.2778,-39.2689,74.93,93,98,5.66,overcast clouds
29,Lebu,CL,-37.6167,-73.65,52.54,83,100,10.09,moderate rain
30,Sterling,US,39.0062,-77.4286,60.42,87,0,0.0,clear sky
31,Punta Arenas,CL,-53.15,-70.9167,39.31,87,0,3.44,clear sky
32,Buala,SB,-8.145,159.5921,83.97,72,100,2.53,light rain
33,Hermanus,ZA,-34.4187,19.2345,55.09,76,0,6.24,clear sky
34,Castro,BR,-24.7911,-50.0119,50.18,95,0,4.09,clear sky
35,Zhaotong,CN,27.3167,103.7167,62.78,67,97,6.93,overcast clouds
36,Nanortalik,GL,60.1432,-45.2371,33.76,82,100,10.38,overcast clouds
37,Yellowknife,CA,62.456,-114.3525,34.32,75,20,4.61,few clouds
38,Hare Bay,CA,48.8499,-54.0148,49.35,91,3,12.41,clear sky
39,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,70,75,10.36,broken clouds
40,Barrow,US,71.2906,-156.7887,30.22,86,100,12.66,mist
41,Singkang,MY,2.1006,102.7994,86.07,76,84,6.58,broken clouds
42,Bluff,NZ,-46.6,168.3333,57.79,73,100,20.62,overcast clouds
43,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,5.75,overcast clouds
44,Bredasdorp,ZA,-34.5322,20.0403,51.1,87,0,5.08,clear sky
45,Baoshan,CN,46.5586,131.4244,61.23,21,100,15.12,overcast clouds
46,Port Blair,IN,11.6667,92.75,86.94,72,83,14.34,broken clouds
47,Kapaa,US,22.0752,-159.319,80.58,83,40,17.27,scattered clouds
48,Bethel,US,41.3712,-73.414,60.76,75,0,3.44,clear sky
49,Ushuaia,AR,-54.8,-68.3,46.06,71,0,0.0,clear sky
50,Touros,BR,-5.1989,-35.4608,73.09,95,100,7.11,light rain
51,Puerto Ayora,EC,-0.7393,-90.3518,71.55,95,9,6.51,clear sky
52,Wajir,KE,1.7471,40.0573,78.76,78,100,10.36,overcast clouds
53,Ulladulla,AU,-35.35,150.4667,65.77,93,100,6.49,light rain
54,Upernavik,GL,72.7868,-56.1549,5.31,88,30,5.17,scattered clouds
55,Katsuura,JP,35.1333,140.3,69.62,77,100,10.87,overcast clouds
56,Songjianghe,CN,42.1859,127.479,54.25,35,100,9.44,moderate rain
57,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds
58,Khunzakh,RU,42.5394,46.705,37.8,85,97,3.53,overcast clouds
59,Kenai,US,60.5544,-151.2583,50.02,52,100,10.36,overcast clouds
60,Zhob,PK,31.3411,69.4481,88.9,4,0,22.26,clear sky
61,Tukrah,LY,32.5341,20.5791,64.15,64,94,11.52,overcast clouds
62,Parbhani,IN,19.2667,76.7833,98.74,29,79,4.05,broken clouds
