City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-05-10 23:23:11,-23.1203,-134.9692,76.87,70,3,15.66
1,Hilo,US,2022-05-10 23:23:42,19.7297,-155.09,82.27,77,75,13.8
2,East London,ZA,2022-05-10 23:26:15,-33.0153,27.9116,66.58,42,100,6.06
3,Vostok,RU,2022-05-10 23:26:15,46.4856,135.8833,60.73,30,87,1.86
4,Bonaventure,CA,2022-05-10 23:26:16,48.0457,-65.4926,59.58,63,56,9.26
5,Marsala,IT,2022-05-10 23:26:16,37.7966,12.4352,61.93,82,20,3.44
6,Ushuaia,AR,2022-05-10 23:26:05,-54.8,-68.3,40.66,75,0,5.75
7,Fort Nelson,CA,2022-05-10 23:26:17,58.8053,-122.7002,51.39,35,20,6.91
8,Mount Isa,AU,2022-05-10 23:26:17,-20.7333,139.5,65.97,94,100,9.22
9,Gottmadingen,DE,2022-05-10 23:26:18,47.7351,8.7769,59.9,77,99,1.63
10,Santa Maria,BR,2022-05-10 23:25:25,-29.6842,-53.8069,61.9,100,40,3.44
11,Bluff,NZ,2022-05-10 23:23:24,-46.6,168.3333,52.81,77,19,12.59
12,Veraval,IN,2022-05-10 23:26:19,20.9,70.3667,82.35,82,76,17.47
13,Saskylakh,RU,2022-05-10 23:26:20,71.9167,114.0833,19.85,87,100,3.36
14,Arraial Do Cabo,BR,2022-05-10 23:26:21,-22.9661,-42.0278,69.76,88,75,3.44
15,Basco,PH,2022-05-10 23:26:21,20.4487,121.9702,83.84,72,36,18.7
16,Castro,BR,2022-05-10 23:26:22,-24.7911,-50.0119,60.62,87,81,2.26
17,Busselton,AU,2022-05-10 23:23:33,-33.65,115.3333,60.49,82,89,1.12
18,Jamestown,US,2022-05-10 23:21:38,42.097,-79.2353,76.64,12,0,0.0
19,Sao Filipe,CV,2022-05-10 23:26:23,14.8961,-24.4956,73.22,80,8,10.31
20,Muli,MV,2022-05-10 23:26:23,2.9167,73.5667,84.27,77,86,19.6
21,Punta Arenas,CL,2022-05-10 23:25:51,-53.15,-70.9167,42.91,70,75,13.8
22,Nanortalik,GL,2022-05-10 23:26:24,60.1432,-45.2371,35.94,86,52,6.22
23,Popondetta,PG,2022-05-10 23:26:25,-8.7537,148.2534,78.89,83,100,1.43
24,Mataura,NZ,2022-05-10 23:26:25,-46.1927,168.8643,52.48,69,14,3.0
25,Goderich,CA,2022-05-10 23:26:26,43.7501,-81.7165,57.88,61,100,14.56
26,Tura,IN,2022-05-10 23:26:26,25.5198,90.2201,70.45,97,76,4.5
27,Albany,US,2022-05-10 23:26:27,42.6001,-73.9662,72.01,53,0,6.42
28,Panguipulli,CL,2022-05-10 23:26:27,-39.6333,-72.3333,46.33,89,83,2.98
29,Bolitoc,PH,2022-05-10 23:26:28,15.7395,119.8769,83.66,68,14,3.09
30,Port Macquarie,AU,2022-05-10 23:26:28,-31.4333,152.9167,64.89,70,100,10.0
31,Vardo,NO,2022-05-10 23:26:29,70.3705,31.1107,37.38,100,100,12.66
32,Esperance,AU,2022-05-10 23:26:29,-33.8667,121.9,62.44,34,50,15.41
33,Valle De Allende,MX,2022-05-10 23:26:30,26.9333,-105.4,77.43,28,51,17.63
34,New Norfolk,AU,2022-05-10 23:26:31,-42.7826,147.0587,49.71,85,55,1.01
35,Beihai,CN,2022-05-10 23:26:31,21.4833,109.1,76.1,93,100,4.09
36,Vanimo,PG,2022-05-10 23:26:32,-2.6741,141.3028,82.09,81,50,7.4
37,Yinchuan,CN,2022-05-10 23:26:22,38.4681,106.2731,53.19,31,24,11.92
38,Mweka,CD,2022-05-10 23:24:53,-4.85,21.5667,71.4,82,86,1.99
39,Yulara,AU,2022-05-10 23:26:33,-25.2406,130.9889,53.44,50,45,6.91
40,Aragona,IT,2022-05-10 23:26:33,37.4008,13.6176,57.2,82,12,6.06
41,Bilibino,RU,2022-05-10 23:24:49,68.0546,166.4372,32.18,97,99,5.1
42,Avarua,CK,2022-05-10 23:26:34,-21.2078,-159.775,82.45,78,75,4.61
43,Aldan,RU,2022-05-10 23:26:35,58.6031,125.3894,21.99,88,94,7.27
44,Deputatskiy,RU,2022-05-10 23:26:35,69.3,139.9,11.19,84,14,4.0
45,Bethel,US,2022-05-10 23:23:12,41.3712,-73.414,70.65,18,75,8.05
46,Bredasdorp,ZA,2022-05-10 23:27:36,-34.5322,20.0403,61.27,79,73,15.1
47,Hobart,AU,2022-05-10 23:27:36,-42.8794,147.3294,50.05,82,0,6.91
48,College,US,2022-05-10 23:27:37,64.8569,-147.8028,43.59,82,75,6.91
49,Atuona,PF,2022-05-10 23:27:37,-9.8,-139.0333,78.55,68,36,19.06
50,Angoram,PG,2022-05-10 23:27:38,-4.0625,144.0661,80.01,90,90,3.29
51,Jinka,ET,2022-05-10 23:27:38,5.65,36.65,63.52,83,18,2.98
52,Tezu,IN,2022-05-10 23:27:39,27.9167,96.1667,70.72,97,100,2.8
53,Paamiut,GL,2022-05-10 23:27:39,61.994,-49.6678,33.94,95,100,9.62
54,Lokot,RU,2022-05-10 23:27:40,52.565,34.5776,41.47,62,96,10.0
55,Margate,GB,2022-05-10 23:27:41,51.3813,1.3862,55.87,73,95,1.99
56,Yellowknife,CA,2022-05-10 23:27:41,62.456,-114.3525,36.12,64,100,6.91
57,Puerto Ayora,EC,2022-05-10 23:27:42,-0.7393,-90.3518,73.54,93,35,4.0
